outer_fold,risk_head,candidate,family,params_json,inner_brier
3,negative_worst_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.26485787699837293
3,negative_worst_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.27731797810404113
3,negative_worst_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.3189142141473415
3,negative_worst_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.36141042345514857
3,negative_p10_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.091611620990242
3,negative_p10_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.0932677188683607
3,negative_p10_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.09509501275695714
3,negative_p10_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.10113110229662337
3,negative_p10_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.10902104674682163
3,negative_p10_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.13303691816746516
4,irrelevant_exposure_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.25254229975501663
4,irrelevant_exposure_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.25774249338044913
4,irrelevant_exposure_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.2611492860794228
4,irrelevant_exposure_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.27599534130736797
4,irrelevant_exposure_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.291969750557394
4,irrelevant_exposure_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.32739194285827466
4,false_warmup_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.15470024038624905
4,false_warmup_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.15833873801734868
4,false_warmup_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.16054429770773745
4,false_warmup_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.17765031940776013
4,false_warmup_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.24210195377997942
4,false_warmup_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.31164865605814235
4,negative_worst_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.26890620071840576
4,negative_worst_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.2736435616529822
